date,city,sunrise,sunset,sunrise_min,sunset_min,day_duration_hrs,season,month,month_name,day_of_year
2025-01-01,Bengaluru,06:42 AM,06:05 PM,402,1085,11.383333333333333,Winter,1,Jan,1
2025-01-02,Bengaluru,06:42 AM,06:05 PM,402,1085,11.383333333333333,Winter,1,Jan,2
2025-01-03,Bengaluru,06:43 AM,06:06 PM,403,1086,11.383333333333333,Winter,1,Jan,3
2025-01-04,Bengaluru,06:43 AM,06:06 PM,403,1086,11.383333333333333,Winter,1,Jan,4
2025-01-05,Bengaluru,06:43 AM,06:07 PM,403,1087,11.4,Winter,1,Jan,5
2025-01-06,Bengaluru,06:44 AM,06:08 PM,404,1088,11.4,Winter,1,Jan,6
2025-01-07,Bengaluru,06:44 AM,06:08 PM,404,1088,11.4,Winter,1,Jan,7
2025-01-08,Bengaluru,06:44 AM,06:09 PM,404,1089,11.416666666666666,Winter,1,Jan,8
2025-01-09,Bengaluru,06:44 AM,06:09 PM,404,1089,11.416666666666666,Winter,1,Jan,9
2025-01-10,Bengaluru,06:45 AM,06:10 PM,405,1090,11.416666666666666,Winter,1,Jan,10
2025-01-11,Bengaluru,06:45 AM,06:10 PM,405,1090,11.416666666666666,Winter,1,Jan,11
2025-01-12,Bengaluru,06:45 AM,06:11 PM,405,1091,11.433333333333334,Winter,1,Jan,12
2025-01-13,Bengaluru,06:45 AM,06:11 PM,405,1091,11.433333333333334,Winter,1,Jan,13
2025-01-14,Bengaluru,06:46 AM,06:12 PM,406,1092,11.433333333333334,Winter,1,Jan,14
2025-01-15,Bengaluru,06:46 AM,06:13 PM,406,1093,11.45,Winter,1,Jan,15
2025-01-16,Bengaluru,06:46 AM,06:13 PM,406,1093,11.45,Winter,1,Jan,16
2025-01-17,Bengaluru,06:46 AM,06:14 PM,406,1094,11.466666666666667,Winter,1,Jan,17
2025-01-18,Bengaluru,06:46 AM,06:14 PM,406,1094,11.466666666666667,Winter,1,Jan,18
2025-01-19,Bengaluru,06:46 AM,06:15 PM,406,1095,11.483333333333333,Winter,1,Jan,19
2025-01-20,Bengaluru,06:46 AM,06:15 PM,406,1095,11.483333333333333,Winter,1,Jan,20
2025-01-21,Bengaluru,06:46 AM,06:16 PM,406,1096,11.5,Winter,1,Jan,21
2025-01-22,Bengaluru,06:46 AM,06:16 PM,406,1096,11.5,Winter,1,Jan,22
2025-01-23,Bengaluru,06:46 AM,06:17 PM,406,1097,11.516666666666667,Winter,1,Jan,23
2025-01-24,Bengaluru,06:46 AM,06:17 PM,406,1097,11.516666666666667,Winter,1,Jan,24
2025-01-25,Bengaluru,06:46 AM,06:18 PM,406,1098,11.533333333333333,Winter,1,Jan,25
2025-01-26,Bengaluru,06:46 AM,06:18 PM,406,1098,11.533333333333333,Winter,1,Jan,26
2025-01-27,Bengaluru,06:46 AM,06:19 PM,406,1099,11.55,Winter,1,Jan,27
2025-01-28,Bengaluru,06:46 AM,06:19 PM,406,1099,11.55,Winter,1,Jan,28
2025-01-29,Bengaluru,06:46 AM,06:19 PM,406,1099,11.55,Winter,1,Jan,29
2025-01-30,Bengaluru,06:46 AM,06:20 PM,406,1100,11.566666666666666,Winter,1,Jan,30
2025-01-31,Bengaluru,06:46 AM,06:20 PM,406,1100,11.566666666666666,Winter,1,Jan,31
2025-02-01,Bengaluru,06:46 AM,06:21 PM,406,1101,11.583333333333334,Winter,2,Feb,32
2025-02-02,Bengaluru,06:46 AM,06:21 PM,406,1101,11.583333333333334,Winter,2,Feb,33
2025-02-03,Bengaluru,06:46 AM,06:22 PM,406,1102,11.6,Winter,2,Feb,34
2025-02-04,Bengaluru,06:45 AM,06:22 PM,405,1102,11.616666666666667,Winter,2,Feb,35
2025-02-05,Bengaluru,06:45 AM,06:22 PM,405,1102,11.616666666666667,Winter,2,Feb,36
2025-02-06,Bengaluru,06:45 AM,06:23 PM,405,1103,11.633333333333333,Winter,2,Feb,37
2025-02-07,Bengaluru,06:45 AM,06:23 PM,405,1103,11.633333333333333,Winter,2,Feb,38
2025-02-08,Bengaluru,06:44 AM,06:23 PM,404,1103,11.65,Winter,2,Feb,39
2025-02-09,Bengaluru,06:44 AM,06:24 PM,404,1104,11.666666666666666,Winter,2,Feb,40
2025-02-10,Bengaluru,06:44 AM,06:24 PM,404,1104,11.666666666666666,Winter,2,Feb,41
2025-02-11,Bengaluru,06:43 AM,06:24 PM,403,1104,11.683333333333334,Winter,2,Feb,42
2025-02-12,Bengaluru,06:43 AM,06:25 PM,403,1105,11.7,Winter,2,Feb,43
2025-02-13,Bengaluru,06:43 AM,06:25 PM,403,1105,11.7,Winter,2,Feb,44
2025-02-14,Bengaluru,06:42 AM,06:25 PM,402,1105,11.716666666666667,Winter,2,Feb,45
2025-02-15,Bengaluru,06:42 AM,06:26 PM,402,1106,11.733333333333333,Winter,2,Feb,46
2025-02-16,Bengaluru,06:42 AM,06:26 PM,402,1106,11.733333333333333,Winter,2,Feb,47
2025-02-17,Bengaluru,06:41 AM,06:26 PM,401,1106,11.75,Winter,2,Feb,48
2025-02-18,Bengaluru,06:41 AM,06:26 PM,401,1106,11.75,Winter,2,Feb,49
2025-02-19,Bengaluru,06:40 AM,06:27 PM,400,1107,11.783333333333333,Winter,2,Feb,50
2025-02-20,Bengaluru,06:40 AM,06:27 PM,400,1107,11.783333333333333,Winter,2,Feb,51
2025-02-21,Bengaluru,06:40 AM,06:27 PM,400,1107,11.783333333333333,Winter,2,Feb,52
2025-02-22,Bengaluru,06:39 AM,06:27 PM,399,1107,11.8,Winter,2,Feb,53
2025-02-23,Bengaluru,06:39 AM,06:27 PM,399,1107,11.8,Winter,2,Feb,54
2025-02-24,Bengaluru,06:38 AM,06:28 PM,398,1108,11.833333333333334,Winter,2,Feb,55
2025-02-25,Bengaluru,06:38 AM,06:28 PM,398,1108,11.833333333333334,Winter,2,Feb,56
2025-02-26,Bengaluru,06:37 AM,06:28 PM,397,1108,11.85,Winter,2,Feb,57
2025-02-27,Bengaluru,06:37 AM,06:28 PM,397,1108,11.85,Winter,2,Feb,58
2025-02-28,Bengaluru,06:36 AM,06:28 PM,396,1108,11.866666666666667,Winter,2,Feb,59
2025-03-01,Bengaluru,06:35 AM,06:28 PM,395,1108,11.883333333333333,Summer,3,Mar,60
2025-03-02,Bengaluru,06:35 AM,06:29 PM,395,1109,11.9,Summer,3,Mar,61
2025-03-03,Bengaluru,06:34 AM,06:29 PM,394,1109,11.916666666666666,Summer,3,Mar,62
2025-03-04,Bengaluru,06:34 AM,06:29 PM,394,1109,11.916666666666666,Summer,3,Mar,63
2025-03-05,Bengaluru,06:33 AM,06:29 PM,393,1109,11.933333333333334,Summer,3,Mar,64
2025-03-06,Bengaluru,06:33 AM,06:29 PM,393,1109,11.933333333333334,Summer,3,Mar,65
2025-03-07,Bengaluru,06:32 AM,06:29 PM,392,1109,11.95,Summer,3,Mar,66
2025-03-08,Bengaluru,06:31 AM,06:29 PM,391,1109,11.966666666666667,Summer,3,Mar,67
2025-03-09,Bengaluru,06:31 AM,06:29 PM,391,1109,11.966666666666667,Summer,3,Mar,68
2025-03-10,Bengaluru,06:30 AM,06:30 PM,390,1110,12.0,Summer,3,Mar,69
2025-03-11,Bengaluru,06:30 AM,06:30 PM,390,1110,12.0,Summer,3,Mar,70
2025-03-12,Bengaluru,06:29 AM,06:30 PM,389,1110,12.016666666666667,Summer,3,Mar,71
2025-03-13,Bengaluru,06:28 AM,06:30 PM,388,1110,12.033333333333333,Summer,3,Mar,72
2025-03-14,Bengaluru,06:28 AM,06:30 PM,388,1110,12.033333333333333,Summer,3,Mar,73
2025-03-15,Bengaluru,06:27 AM,06:30 PM,387,1110,12.05,Summer,3,Mar,74
2025-03-16,Bengaluru,06:26 AM,06:30 PM,386,1110,12.066666666666666,Summer,3,Mar,75
2025-03-17,Bengaluru,06:26 AM,06:30 PM,386,1110,12.066666666666666,Summer,3,Mar,76
2025-03-18,Bengaluru,06:25 AM,06:30 PM,385,1110,12.083333333333334,Summer,3,Mar,77
2025-03-19,Bengaluru,06:24 AM,06:30 PM,384,1110,12.1,Summer,3,Mar,78
2025-03-20,Bengaluru,06:24 AM,06:30 PM,384,1110,12.1,Summer,3,Mar,79
2025-03-21,Bengaluru,06:23 AM,06:30 PM,383,1110,12.116666666666667,Summer,3,Mar,80
2025-03-22,Bengaluru,06:22 AM,06:31 PM,382,1111,12.15,Summer,3,Mar,81
2025-03-23,Bengaluru,06:22 AM,06:31 PM,382,1111,12.15,Summer,3,Mar,82
