date,sunrise,sunset,day_duration_hours,season
2025-01-01,07:14 AM,05:36 PM,10.37,Winter
2025-01-08,07:15 AM,05:41 PM,10.43,Winter
2025-01-15,07:15 AM,05:46 PM,10.52,Winter
2025-01-22,07:14 AM,05:52 PM,10.63,Winter
2025-01-29,07:11 AM,05:58 PM,10.78,Winter
2025-02-05,07:07 AM,06:04 PM,10.95,Winter
2025-02-12,07:02 AM,06:09 PM,11.12,Winter
2025-02-19,06:56 AM,06:14 PM,11.3,Winter
2025-02-26,06:49 AM,06:19 PM,11.5,Winter
2025-03-05,06:42 AM,06:23 PM,11.68,Summer
2025-03-12,06:34 AM,06:28 PM,11.9,Summer
2025-03-19,06:26 AM,06:32 PM,12.1,Summer
2025-03-26,06:18 AM,06:36 PM,12.3,Summer
2025-04-02,06:10 AM,06:40 PM,12.5,Summer
2025-04-09,06:02 AM,06:44 PM,12.7,Summer
2025-04-16,05:55 AM,06:48 PM,12.88,Summer
2025-04-23,05:48 AM,06:52 PM,13.07,Summer
2025-04-30,05:41 AM,06:56 PM,13.25,Summer
2025-05-07,05:36 AM,07:00 PM,13.4,Summer
2025-05-14,05:31 AM,07:04 PM,13.55,Summer
2025-05-21,05:27 AM,07:09 PM,13.7,Summer
2025-05-28,05:25 AM,07:12 PM,13.78,Summer
2025-06-04,05:23 AM,07:16 PM,13.88,Rainy
2025-06-11,05:23 AM,07:19 PM,13.93,Rainy
2025-06-18,05:23 AM,07:21 PM,13.97,Rainy
2025-06-25,05:25 AM,07:23 PM,13.97,Rainy
2025-07-02,05:27 AM,07:23 PM,13.93,Rainy
2025-07-09,05:30 AM,07:22 PM,13.87,Rainy
2025-07-16,05:34 AM,07:20 PM,13.77,Rainy
2025-07-23,05:37 AM,07:17 PM,13.67,Rainy
2025-07-30,05:41 AM,07:13 PM,13.53,Rainy
2025-08-06,05:45 AM,07:08 PM,13.38,Rainy
2025-08-13,05:49 AM,07:02 PM,13.22,Rainy
2025-08-20,05:53 AM,06:56 PM,13.05,Rainy
2025-08-27,05:57 AM,06:48 PM,12.85,Rainy
2025-09-03,06:00 AM,06:40 PM,12.67,Rainy
2025-09-10,06:04 AM,06:32 PM,12.47,Rainy
2025-09-17,06:07 AM,06:24 PM,12.28,Rainy
2025-09-24,06:10 AM,06:15 PM,12.08,Rainy
2025-10-01,06:14 AM,06:07 PM,11.88,Autumn
2025-10-08,06:18 AM,05:59 PM,11.68,Autumn
2025-10-15,06:22 AM,05:51 PM,11.48,Autumn
2025-10-22,06:26 AM,05:44 PM,11.3,Autumn
2025-10-29,06:31 AM,05:38 PM,11.12,Autumn
2025-11-05,06:36 AM,05:33 PM,10.95,Autumn
2025-11-12,06:41 AM,05:29 PM,10.8,Autumn
2025-11-19,06:47 AM,05:26 PM,10.65,Autumn
2025-11-26,06:53 AM,05:24 PM,10.52,Autumn
2025-12-03,06:58 AM,05:24 PM,10.43,Winter
2025-12-10,07:03 AM,05:25 PM,10.37,Winter
2025-12-17,07:08 AM,05:27 PM,10.32,Winter
2025-12-24,07:11 AM,05:30 PM,10.32,Winter
2025-12-31,07:14 AM,05:35 PM,10.35,Winter
