date,city,sunrise,sunset,day_duration_hrs,season
2026-05-28,Bengaluru,05:52 AM,06:41 PM,12.82,Summer
2025-01-01,Bengaluru,06:42 AM,06:05 PM,11.38,Winter
2025-01-02,Bengaluru,06:42 AM,06:05 PM,11.38,Winter
2025-01-03,Bengaluru,06:43 AM,06:06 PM,11.38,Winter
2025-01-04,Bengaluru,06:43 AM,06:06 PM,11.38,Winter
2025-01-05,Bengaluru,06:43 AM,06:07 PM,11.4,Winter
2025-01-06,Bengaluru,06:44 AM,06:08 PM,11.4,Winter
2025-01-07,Bengaluru,06:44 AM,06:08 PM,11.4,Winter
2025-01-08,Bengaluru,06:44 AM,06:09 PM,11.42,Winter
2025-01-09,Bengaluru,06:44 AM,06:09 PM,11.42,Winter
2025-01-10,Bengaluru,06:45 AM,06:10 PM,11.42,Winter
2025-01-11,Bengaluru,06:45 AM,06:10 PM,11.42,Winter
2025-01-12,Bengaluru,06:45 AM,06:11 PM,11.43,Winter
2025-01-13,Bengaluru,06:45 AM,06:11 PM,11.43,Winter
2025-01-14,Bengaluru,06:46 AM,06:12 PM,11.43,Winter
2025-01-15,Bengaluru,06:46 AM,06:13 PM,11.45,Winter
2025-01-16,Bengaluru,06:46 AM,06:13 PM,11.45,Winter
2025-01-17,Bengaluru,06:46 AM,06:14 PM,11.47,Winter
2025-01-18,Bengaluru,06:46 AM,06:14 PM,11.47,Winter
2025-01-19,Bengaluru,06:46 AM,06:15 PM,11.48,Winter
2025-01-20,Bengaluru,06:46 AM,06:15 PM,11.48,Winter
2025-01-21,Bengaluru,06:46 AM,06:16 PM,11.5,Winter
2025-01-22,Bengaluru,06:46 AM,06:16 PM,11.5,Winter
2025-01-23,Bengaluru,06:46 AM,06:17 PM,11.52,Winter
2025-01-24,Bengaluru,06:46 AM,06:17 PM,11.52,Winter
2025-01-25,Bengaluru,06:46 AM,06:18 PM,11.53,Winter
